id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
1,Kofiau dan Pulau Boo Marine Protected Area,2200,Kampung Deer,2009,-1.15,129.85,Use,78,5.773502692,6,3.214550254,0,0,0,0,8.667,1.763834207,3.667,0.881917104
2,Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2009,-1.16,129.83,Use,41.333,5.783117191,13.667,4.05517502,0,0,0,0,7.333,3.666666667,1,0.577350269
3,Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2013,-1.16,129.83,Use,5.667,0.666666667,2.333,1.452966315,8.667,2.333333333,0,0,18,5.567764363,8.333,1.452966315
4,Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,36.333,7.218802609,9.333,2.962731472,0,0,0,0,5.667,1.201850425,1,0.577350269
5,Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2013,-1.14,129.85,Use,7.667,1.452966315,3.333,1.333333333,9.667,2.02758751,0,0,18.333,3.527668415,25,4.041451884
6,Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,33.667,0.881917104,29,3.511884584,0,0,0,0,11,1.154700538,5.333,2.333333333
7,Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2010,-1.15,129.88,Use,21,3,9.667,1.855921454,6.667,2.728450924,0,0,29.333,1.201850425,0.667,0.333333333
8,Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2011,-1.15,129.88,Use,27.333,4.05517502,25,3.055050463,1,0.577350269,2.667,0.333333333,0.667,0.666666667,9,4.725815626
9,Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2013,-1.15,129.88,Use,6.333,1.452966315,3.667,2.333333333,2,0.577350269,0,0,11,1.527525232,8.667,1.452966315
10,Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2016,-1.15,129.88,Use,16.333,4.910306621,1.333,0.881917104,0,0,0,0,17,4.725815626,19.333,0.333333333
11,Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,28.333,4.666666667,12.667,4.630814663,0,0,0,0,23.667,4.096068576,3.333,1.201850425
12,Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2010,-1.16,129.93,Use,12.667,2.603416559,17.333,1.855921454,35.333,5.783117191,0,0,5,1.154700538,4.333,1.201850425
13,Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,27.667,4.484541349,15.333,1.201850425,3,1.154700538,0.333,0.333333333,9.667,1.666666667,2.667,0.666666667
14,Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2013,-1.16,129.93,Use,13.667,1.763834207,9.333,0.881917104,5.333,1.666666667,0,0,21.333,2.02758751,7,1.732050808
15,Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2014,-1.16,129.93,Use,11.333,1.452966315,8.333,3.333333333,4.667,2.728450924,0,0,22.667,1.763834207,0.333,0.333333333
16,Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2016,-1.16,129.93,Use,13.667,4.05517502,16.667,0.881917104,0.333,0.333333333,0,0,18.667,4.910306621,19.333,3.844187532
17,Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2009,-1.17,129.97,Use,37,3.511884584,17.667,1.452966315,0,0,0,0,3.333,0.881917104,6.667,2.40370085
18,Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2010,-1.17,129.97,Use,21,1.154700538,14.667,1.763834207,10.667,4.630814663,0,0,6.667,0.666666667,8.333,0.881917104
19,Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2011,-1.17,129.97,Use,35,3.055050463,20.667,1.201850425,3,1,1,1,2.333,0.333333333,5,1.154700538
20,Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2014,-1.17,129.97,Use,9,0.577350269,18.667,2.185812841,3,2,0,0,9.333,0.881917104,10,1
21,Kofiau dan Pulau Boo Marine Protected Area,2205,Wamei,2016,-1.17,129.97,Use,22.667,2.728450924,19.333,1.855921454,0.667,0.666666667,0,0,12,1.527525232,17,2.081665999
22,Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2009,-1.18,129.97,NTZ,32,4.163331999,13.667,4.807401701,0,0,0,0,26,0.577350269,3.333,0.666666667
23,Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2010,-1.18,129.97,NTZ,23,6.658328118,12,3.511884584,18.333,3.844187532,0,0,24,10,1.667,0.881917104
24,Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2011,-1.18,129.97,NTZ,34,2.516611478,14.333,3.382963855,2.667,0.666666667,0.667,0.666666667,14.333,1.201850425,1.333,0.881917104
25,Kofiau dan Pulau Boo Marine Protected Area,2206,Wambong Kecil,2013,-1.18,129.97,NTZ,18,4.358898944,10.667,1.201850425,6,1.732050808,0,0,20.333,6.741249472,6.333,1.855921454
