MPA,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Fish_Family,Abundance,Abundance_SE,Biomass,Biomass_SE
Kofiau dan Pulau Boo Marine Protected Area,2200,Kampung Deer,2009,-1.15,129.85,Use,Acanthuridae,93.333,13.333,8.423,1.203
Kofiau dan Pulau Boo Marine Protected Area,2200,Kampung Deer,2009,-1.15,129.85,Use,Lutjanidae,160,NA,78.711,NA
Kofiau dan Pulau Boo Marine Protected Area,2200,Kampung Deer,2009,-1.15,129.85,Use,Scaridae,250,44.347,59.556,10.476
Kofiau dan Pulau Boo Marine Protected Area,2200,Kampung Deer,2009,-1.15,129.85,Use,Siganidae,213.333,113.92,24.04,14.398
Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2009,-1.16,129.83,Use,Acanthuridae,656,137.753,87.711,25.291
Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2009,-1.16,129.83,Use,Lutjanidae,53.333,13.333,2.713,0.541
Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2009,-1.16,129.83,Use,Scaridae,352,55.714,48.411,7.842
Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2009,-1.16,129.83,Use,Serranidae,40,NA,2.326,NA
Kofiau dan Pulau Boo Marine Protected Area,2201,Warmariar,2009,-1.16,129.83,Use,Siganidae,70,10,18.585,4.881
Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,Acanthuridae,368,103.846,48.761,18.674
Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,Haemulidae,40,0,8.056,3.087
Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,Lutjanidae,960,471.876,60.552,29.886
Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,Scaridae,560,158.493,123.438,32.191
Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,Serranidae,80,NA,4.411,NA
Kofiau dan Pulau Boo Marine Protected Area,2202,Tanjung Deer,2009,-1.14,129.85,Use,Siganidae,80,NA,7.749,NA
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,Acanthuridae,592,156.154,97.485,27.271
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,Haemulidae,40,NA,1.882,NA
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,Lutjanidae,400,212.791,25.795,13.749
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,Scaridae,520,76.942,138.804,27.934
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,Serranidae,80,0,12.06,0.188
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2009,-1.15,129.88,Use,Siganidae,266.667,139.204,69.466,37.194
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2010,-1.15,129.88,Use,Lutjanidae,213.333,173.333,65.864,54.968
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2010,-1.15,129.88,Use,Scaridae,45,5,39.344,5.024
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2010,-1.15,129.88,Use,Serranidae,83.333,20.276,18.173,4.051
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2010,-1.15,129.88,Use,Siganidae,173.333,48.074,54.052,29.756
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2011,-1.15,129.88,Use,Acanthuridae,340,260,70.691,53.661
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2011,-1.15,129.88,Use,Lutjanidae,57.5,16.52,28.722,8.477
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2011,-1.15,129.88,Use,Scaridae,328,68.586,43.556,8.023
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2011,-1.15,129.88,Use,Serranidae,40,0,25.143,7.149
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2011,-1.15,129.88,Use,Siganidae,106.667,26.667,33.887,21.369
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2016,-1.15,129.88,Use,Acanthuridae,136,51.536,35.797,16.49
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2016,-1.15,129.88,Use,Lutjanidae,136.667,78.387,36.392,17.324
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2016,-1.15,129.88,Use,Scaridae,134,44,60.164,16.08
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2016,-1.15,129.88,Use,Serranidae,40,0,3.581,0.906
Kofiau dan Pulau Boo Marine Protected Area,2203,Twanyauhner,2016,-1.15,129.88,Use,Siganidae,370,277.789,100.277,72.885
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,Acanthuridae,680,86.718,98.739,25.89
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,Haemulidae,295,255,797.264,794.819
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,Lutjanidae,93.333,53.333,16.3,9.349
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,Scaridae,322,61.677,234.016,157.822
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,Serranidae,53.333,13.333,13.278,6.641
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2009,-1.16,129.93,Use,Siganidae,120,40,7.834,2.708
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2010,-1.16,129.93,Use,Acanthuridae,360,71.554,19.97,4.444
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2010,-1.16,129.93,Use,Haemulidae,20,NA,193.469,NA
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2010,-1.16,129.93,Use,Lutjanidae,74,20.881,22.329,11.741
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2010,-1.16,129.93,Use,Scaridae,72.5,19.738,13.746,4.769
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2010,-1.16,129.93,Use,Serranidae,90,37.859,20.823,11.945
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,Acanthuridae,160,36.515,38.255,10.494
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,Haemulidae,65,15,45.555,1.356
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,Lutjanidae,232,153.571,129.869,101.051
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,Scaridae,210,77.244,42.453,14.063
Kofiau dan Pulau Boo Marine Protected Area,2204,Yenmandur,2011,-1.16,129.93,Use,Serranidae,78,30.561,22.459,5.171
